matric_no,PHY102,MTS104,EEE201,EEE202,EEE301,EEE303,EEE305,EEE311,output
CPE/16/7794,47,45,50.0,45.0,0.0,32.0,0.0,35.0,16.75
CPE/16/7795,67,46,52.0,46.0,37.0,20.0,52.0,52.0,40.25
CPE/16/7796,78,62,70.0,47.0,52.0,53.0,81.0,46.0,58.0
CPE/16/7797,65,48,54.0,57.0,45.0,50.0,45.0,51.0,47.75
CPE/16/7798,48,54,55.0,46.0,50.0,48.0,66.0,46.0,52.5
CPE/16/7799,68,56,54.0,47.0,0.0,30.0,64.0,45.0,34.75
CPE/16/7800,51,50,65.0,25.0,0.0,26.0,53.0,46.0,31.25
CPE/16/7801,61,53,66.0,65.0,57.0,57.0,71.0,48.0,58.25
CPE/16/7802,51,57,58.0,73.0,68.0,37.0,64.0,56.0,56.25
CPE/16/7803,68,68,70.0,81.0,63.0,70.0,76.0,53.0,65.5
CPE/16/7805,54,50,46.0,23.0,36.0,45.0,50.0,47.0,44.5
CPE/16/7806,61,46,50.0,45.0,0.0,24.0,0.0,0.0,6.0
CPE/16/7807,47,45,50.0,45.0,29.0,0.0,30.0,0.0,14.75
CPE/16/7808,48,50,51.0,45.0,29.0,24.0,32.0,16.0,25.25
CPE/16/7809,57,46,52.0,48.0,0.0,29.0,0.0,51.0,20.0
CPE/16/7810,68,57,66.0,53.0,51.0,47.0,65.0,45.0,52.0
CPE/16/7813,57,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPE/16/7814,72,61,58.0,60.0,73.0,66.0,79.0,73.0,72.75
CPE/16/7815,64,56,45.0,46.0,0.0,36.0,62.0,50.0,37.0
CPE/16/7816,62,43,52.0,45.0,60.0,45.0,47.0,47.0,49.75
CPE/16/7817,53,47,45.0,47.0,0.0,50.0,0.0,56.0,26.5
CPE/16/7819,73,61,75.0,66.0,77.0,65.0,87.0,51.0,70.0
CPE/16/7820,58,62,52.0,50.0,0.0,46.0,46.0,58.0,37.5
CPE/16/7822,53,26,50.0,45.0,36.0,22.0,47.0,22.0,31.75
CPE/16/7823,62,45,50.0,45.0,30.0,23.0,45.0,46.0,36.0
CPE/16/7824,68,64,50.0,58.0,46.0,51.0,55.0,47.0,49.75
CPE/16/7825,73,80,66.0,55.0,60.0,48.0,81.0,52.0,60.25
CPE/16/7826,56,46,57.0,45.0,33.0,26.0,41.0,46.0,36.5
CPE/16/7827,68,55,64.0,45.0,0.0,46.0,61.0,45.0,38.0
CPE/16/7828,73,57,58.0,48.0,58.0,27.0,67.0,52.0,51.0
CPE/16/7829,63,60,60.0,60.0,53.0,52.0,65.0,48.0,54.5
CPE/16/7830,61,50,50.0,46.0,50.0,39.0,45.0,46.0,45.0
CPE/16/7832,50,65,60.0,55.0,64.0,61.0,61.0,64.0,62.5
CPE/16/7833,48,46,58.0,58.0,47.0,57.0,68.0,47.0,54.75
CPE/16/7834,51,61,55.0,46.0,46.0,51.0,64.0,55.0,54.0
CPE/16/7835,48,45,45.0,45.0,0.0,7.0,17.0,0.0,6.0
CPE/16/7836,58,55,51.0,28.0,55.0,30.0,45.0,50.0,45.0
CPE/16/7837,71,65,56.0,62.0,61.0,53.0,70.0,63.0,61.75
CPE/16/7838,58,48,58.0,22.0,48.0,38.0,64.0,46.0,49.0
CPE/16/7840,46,45,45.0,25.0,0.0,21.0,37.0,36.0,23.5
CPE/16/7841,73,66,73.0,68.0,71.0,71.0,89.0,65.0,74.0
CPE/16/7842,75,45,62.0,45.0,66.0,64.0,75.0,62.0,66.75
CPE/16/7843,45,48,0.0,50.0,0.0,20.0,23.0,0.0,10.75
CPE/16/7844,55,50,37.0,45.0,0.0,35.0,55.0,0.0,22.5
CPE/16/7845,57,47,50.0,46.0,46.0,45.0,45.0,45.0,45.25
CPE/16/7846,71,62,64.0,66.0,56.0,63.0,81.0,51.0,62.75
CPE/16/7847,52,53,57.0,60.0,61.0,54.0,73.0,53.0,60.25
CPE/16/7848,48,25,50.0,45.0,0.0,17.0,0.0,0.0,4.25
CPE/16/7849,56,46,50.0,55.0,0.0,39.0,53.0,17.0,27.25
CPE/16/7850,57,45,45.0,46.0,0.0,0.0,0.0,0.0,0.0
