matric_no,PHY102,MTS104,EEE201,EEE202,EEE301,EEE303,EEE305,EEE311,output
CPE/16/7851,62,60,54.0,45.0,53.0,48.0,64.0,51.0,54.0
CPE/16/7852,64,50,45.0,45.0,0.0,30.0,45.0,30.0,26.25
CPE/16/7853,43,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPE/16/7854,54,45,45.0,26.0,0.0,17.0,36.0,39.0,23.0
CPE/16/7855,53,51,0.0,46.0,0.0,31.0,0.0,38.0,17.25
CPE/16/7856,81,62,62.0,72.0,66.0,50.0,74.0,47.0,59.25
CPE/16/7857,67,45,54.0,48.0,46.0,45.0,30.0,46.0,41.75
CPE/16/7858,58,53,56.0,50.0,53.0,35.0,45.0,28.0,40.25
CPE/16/7859,58,46,37.0,45.0,0.0,26.0,53.0,45.0,31.0
CPE/16/7861,62,51,63.0,45.0,55.0,64.0,66.0,45.0,57.5
CPE/16/7862,64,57,64.0,68.0,53.0,54.0,72.0,46.0,56.25
CPE/16/7863,72,60,64.0,47.0,48.0,39.0,53.0,47.0,46.75
CPE/16/7864,47,55,60.0,54.0,62.0,39.0,60.0,51.0,53.0
CPE/16/7866,72,55,54.0,64.0,45.0,27.0,46.0,23.0,35.25
CPE/16/7867,51,51,53.0,23.0,45.0,21.0,50.0,25.0,35.25
CPE/16/7868,48,45,60.0,51.0,66.0,55.0,60.0,53.0,58.5
CPE/16/7869,51,57,56.0,47.0,45.0,47.0,62.0,19.0,43.25
CPE/16/7870,55,51,50.0,52.0,0.0,51.0,86.0,47.0,46.0
CPE/16/7871,62,34,54.0,45.0,32.0,26.0,45.0,51.0,38.5
CPE/16/7872,62,56,51.0,66.0,55.0,48.0,52.0,51.0,51.5
CPE/16/7873,51,61,47.0,56.0,0.0,48.0,75.0,45.0,42.0
CPE/16/7874,73,52,64.0,68.0,66.0,48.0,82.0,73.0,67.25
CPE/16/7875,57,64,53.0,66.0,0.0,10.0,57.0,30.0,24.25
CPE/16/7876,51,56,57.0,51.0,57.0,50.0,70.0,46.0,55.75
CPE/16/7877,68,58,61.0,53.0,61.0,73.0,86.0,53.0,68.25
CPE/16/7878,73,62,82.0,0.0,0.0,0.0,0.0,0.0,0.0
