matric_no,PHY102,MTS104,EEE201,EEE202,EEE301,EEE303,EEE305,EEE311,output
CPE/17/3085,43.0,31.0,45.0,45.0,20.0,0.0,17.0,0.0,9.25
CPE/17/3086,70.0,60.0,47.0,63.0,54.0,47.0,54.0,58.0,53.25
CPE/17/3087,67.0,70.0,50.0,60.0,67.0,46.0,60.0,57.0,57.5
CPE/17/3088,57.0,50.0,45.0,61.0,63.0,50.0,50.0,51.0,53.5
CPE/17/3089,57.0,45.0,47.0,28.0,51.0,45.0,36.0,45.0,44.25
CPE/17/3090,61.0,64.0,52.0,58.0,66.0,54.0,60.0,50.0,57.5
CPE/17/3091,76.0,73.0,72.0,60.0,67.0,46.0,64.0,50.0,56.75
CPE/17/3092,53.0,34.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0
CPE/17/3093,53.0,50.0,45.0,52.0,47.0,30.0,35.0,0.0,28.0
CPE/17/3094,68.0,50.0,45.0,48.0,57.0,45.0,50.0,35.0,46.75
CPE/17/3095,61.0,53.0,45.0,32.0,45.0,33.0,45.0,32.0,38.75
CPE/17/3096,57.0,58.0,61.0,56.0,74.0,51.0,70.0,66.0,65.25
CPE/17/3097,53.0,65.0,62.0,58.0,54.0,45.0,45.0,47.0,47.75
CPE/17/3098,57.0,46.0,45.0,48.0,55.0,34.0,50.0,45.0,46.0
CPE/17/3099,56.0,56.0,70.0,61.0,65.0,45.0,50.0,60.0,55.0
CPE/17/3100,73.0,53.0,60.0,52.0,56.0,45.0,60.0,60.0,55.25
CPE/17/3101,65.0,73.0,49.0,60.0,56.0,32.0,50.0,46.0,46.0
CPE/17/3102,56.0,48.0,63.0,48.0,55.0,51.0,35.0,45.0,46.5
CPE/17/3104,57.0,65.0,45.0,56.0,47.0,45.0,51.0,45.0,47.0
CPE/17/3105,61.0,64.0,45.0,65.0,66.0,50.0,56.0,58.0,57.5
CPE/17/3106,64.0,65.0,45.0,68.0,61.0,52.0,45.0,53.0,52.75
CPE/17/3107,67.0,56.0,45.0,46.0,0.0,0.0,0.0,0.0,0.0
CPE/17/3108,60.0,65.0,60.0,57.0,65.0,53.0,50.0,68.0,59.0
CPE/17/3109,68.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPE/17/3110,79.0,77.0,60.0,58.0,66.0,45.0,76.0,66.0,63.25
CPE/17/3111,50.0,60.0,63.0,63.0,64.0,46.0,54.0,58.0,55.5
CPE/17/3112,60.0,64.0,51.0,60.0,63.0,45.0,60.0,56.0,56.0
CPE/17/3113,80.0,58.0,45.0,65.0,68.0,60.0,67.0,55.0,62.5
CPE/17/3114,51.0,51.0,45.0,28.0,45.0,0.0,0.0,45.0,22.5
CPE/17/3115,63.0,54.0,48.0,60.0,57.0,45.0,50.0,41.0,48.25
CPE/17/3116,75.0,68.0,75.0,81.0,57.0,63.0,58.0,47.0,56.25
CPE/17/3117,71.0,53.0,45.0,56.0,48.0,47.0,45.0,46.0,46.5
CPE/17/3118,51.0,45.0,45.0,48.0,0.0,35.0,34.0,0.0,17.25
CPE/17/3119,72.0,60.0,45.0,71.0,66.0,46.0,73.0,77.0,65.5
CPE/17/3120,62.0,63.0,72.0,60.0,63.0,47.0,66.0,60.0,59.0
CPE/17/3121,60.0,76.0,76.0,54.0,71.0,64.0,68.0,80.0,70.75
CPE/17/3122,52.0,54.0,45.0,46.0,50.0,45.0,33.0,45.0,43.25
CPE/17/3123,56.0,51.0,46.0,48.0,45.0,36.0,34.0,28.0,35.75
CPE/17/3124,72.0,55.0,54.0,70.0,56.0,45.0,78.0,76.0,63.75
CPE/17/3125,65.0,77.0,87.0,84.0,79.0,80.0,93.0,89.0,85.25
CPE/17/3126,56.0,62.0,50.0,56.0,66.0,47.0,57.0,50.0,55.0
CPE/17/3127,70.0,52.0,45.0,48.0,52.0,45.0,50.0,47.0,48.5
CPE/17/3128,60.0,50.0,45.0,53.0,60.0,34.0,51.0,38.0,45.75
CPE/17/3129,67.0,45.0,46.0,54.0,56.0,53.0,50.0,68.0,56.75
CPE/17/3130,53.0,48.0,45.0,48.0,60.0,45.0,45.0,38.0,47.0
CPE/17/3131,62.0,62.0,54.0,67.0,74.0,50.0,64.0,46.0,58.5
CPE/17/3133,57.0,61.0,60.0,60.0,80.0,45.0,64.0,64.0,63.25
CPE/17/3134,64.0,54.0,45.0,63.0,62.0,45.0,50.0,48.0,51.25
CPE/17/3135,70.0,72.0,77.0,68.0,64.0,68.0,70.0,78.0,70.0
CPE/17/3136,0.0,60.0,45.0,58.0,50.0,32.0,48.0,50.0,45.0
CPE/17/3137,85.0,72.0,63.0,70.0,80.0,57.0,60.0,78.0,68.75
CPE/17/3138,63.0,67.0,60.0,61.0,50.0,45.0,50.0,64.0,52.25
CPE/17/3139,66.0,64.0,60.0,55.0,55.0,45.0,50.0,47.0,49.25
CPE/17/3140,52.0,48.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
CPE/17/3141,51.0,51.0,45.0,46.0,46.0,35.0,36.0,35.0,38.0
CPE/17/3142,60.0,66.0,56.0,81.0,67.0,63.0,78.0,66.0,68.5
CPE/17/3143,68.0,60.0,64.0,66.0,55.0,45.0,39.0,46.0,46.25
CPE/17/3144,63.0,67.0,62.0,66.0,72.0,61.0,54.0,70.0,64.25
CPE/17/3145,60.0,52.0,51.0,58.0,66.0,45.0,56.0,51.0,54.5
CPE/17/3146,68.0,72.0,48.0,51.0,50.0,46.0,50.0,36.0,45.5
CPE/17/3147,61.0,70.0,45.0,57.0,55.0,34.0,37.0,50.0,44.0
CPE/17/3148,67.0,68.0,50.0,54.0,68.0,45.0,50.0,67.0,57.5
CPE/17/3149,55.0,55.0,45.0,60.0,47.0,45.0,32.0,31.0,38.75
CPE/16/7816,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPE/16/7822,0.0,30.0,0.0,0.0,47.0,45.0,0.0,45.0,34.25
CPE/16/7848,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPE/16/7871,0.0,30.0,0.0,0.0,0.0,45.0,0.0,0.0,11.25
CPE/16/7843,0.0,0.0,30.0,0.0,0.0,50.0,45.0,0.0,23.75
CPE/16/7844,0.0,0.0,45.0,0.0,35.0,45.0,0.0,37.0,29.25
CPE/16/7853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPE/16/7854,0.0,0.0,45.0,20.0,0.0,45.0,22.0,0.0,16.75
CPE/16/7855,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
CPE/16/7859,0.0,0.0,45.0,0.0,18.0,31.0,0.0,0.0,12.25
CPE/18/6638,0.0,0.0,78.0,58.0,66.0,52.0,54.0,70.0,60.5
CPE/18/6641,0.0,0.0,60.0,56.0,57.0,45.0,36.0,48.0,46.5
CPE/18/6662,0.0,0.0,25.0,45.0,57.0,45.0,50.0,0.0,38.0
CPE/18/6664,0.0,0.0,45.0,46.0,0.0,0.0,0.0,23.0,5.75
CPE/18/6667,0.0,0.0,61.0,68.0,84.0,46.0,50.0,64.0,61.0
CPE/18/6675,0.0,0.0,72.0,48.0,72.0,71.0,80.0,65.0,72.0
CPE/18/6683,0.0,0.0,50.0,61.0,70.0,0.0,57.0,64.0,47.75
CPE/16/7800,0.0,0.0,0.0,24.0,0.0,34.0,0.0,0.0,8.5
CPE/16/7805,0.0,0.0,0.0,45.0,39.0,0.0,0.0,0.0,9.75
CPE/16/7836,0.0,0.0,0.0,45.0,22.0,45.0,0.0,0.0,16.75
CPE/16/7838,0.0,0.0,0.0,48.0,0.0,51.0,0.0,0.0,12.75
CPE/16/7840,0.0,0.0,0.0,19.0,0.0,33.0,25.0,25.0,20.75
CPE/16/7867,0.0,0.0,0.0,46.0,0.0,45.0,0.0,31.0,19.0
CPE/16/7795,0.0,0.0,0.0,0.0,48.0,46.0,0.0,0.0,23.5
CPE/16/7799,0.0,0.0,0.0,0.0,68.0,45.0,0.0,0.0,28.25
CPE/16/7806,0.0,0.0,0.0,0.0,57.0,47.0,0.0,46.0,37.5
CPE/16/7807,0.0,0.0,0.0,0.0,50.0,45.0,20.0,28.0,35.75
CPE/16/7809,0.0,0.0,0.0,0.0,8.0,0.0,21.0,0.0,7.25
CPE/16/7815,0.0,0.0,0.0,0.0,57.0,34.0,0.0,0.0,22.75
CPE/16/7817,0.0,0.0,0.0,0.0,63.0,0.0,29.0,0.0,23.0
CPE/16/7820,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,11.25
CPE/16/7823,0.0,0.0,0.0,0.0,47.0,62.0,0.0,0.0,27.25
CPE/16/7826,0.0,0.0,0.0,0.0,45.0,33.0,45.0,0.0,30.75
CPE/16/7849,0.0,0.0,0.0,0.0,61.0,45.0,0.0,51.0,39.25
CPE/16/7870,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,14.5
CPE/16/7873,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,13.75
CPE/16/7875,0.0,0.0,0.0,0.0,60.0,53.0,0.0,52.0,41.25
CPE/16/7794,0.0,0.0,0.0,0.0,0.0,33.0,33.0,0.0,16.5
CPE/16/7802,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,12.5
CPE/16/7808,0.0,0.0,0.0,0.0,0.0,45.0,28.0,45.0,29.5
CPE/16/7828,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,11.25
CPE/16/7830,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,12.75
CPE/16/7863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPE/16/7864,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,14.0
CPE/16/7866,0.0,0.0,0.0,0.0,0.0,45.0,0.0,55.0,25.0
CPE/16/7857,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,6.0
CPE/16/7852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,8.75
CPE/16/7858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,6.0
CPE/16/7869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,11.25
